,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
699,2.26,0.0,2.26,0.0
700,2.27,0.0,2.27,0.0
701,2.27,0.0,2.27,0.0
702,2.27,0.01,2.26,0.05
703,2.28,0.01,2.27,0.05
704,2.29,0.01,2.28,0.05
705,2.28,0.01,2.27,0.05
706,2.29,0.0,2.29,0.0
707,2.27,0.0,2.27,0.0
708,2.3,0.01,2.29,0.05
709,2.3,0.01,2.29,0.05
710,2.3,0.01,2.29,0.05
711,2.31,0.01,2.3,0.05
712,2.31,0.01,2.3,0.05
713,2.31,0.0,2.31,0.0
714,2.31,0.01,2.3,0.05
715,2.32,0.01,2.31,0.05
716,2.32,0.01,2.31,0.05
717,2.32,0.01,2.31,0.05
718,2.33,0.01,2.32,0.05
719,2.34,0.01,2.33,0.05
720,2.34,0.01,2.33,0.05
721,2.34,0.01,2.33,0.05
722,2.34,0.01,2.33,0.05
723,2.34,0.01,2.33,0.05
724,2.35,0.01,2.34,0.05
725,2.35,0.01,2.34,0.05
726,2.37,0.01,2.36,0.05
727,2.36,0.02,2.34,0.09
728,2.36,0.01,2.35,0.05
729,2.36,0.01,2.35,0.05
730,2.36,0.0,2.36,0.0
731,2.37,0.01,2.36,0.05
732,2.38,0.02,2.36,0.09
733,2.36,0.02,2.34,0.09
734,2.38,0.0,2.38,0.0
735,2.38,0.01,2.37,0.05
736,2.39,0.02,2.37,0.09
737,2.39,0.01,2.38,0.05
738,2.39,0.0,2.39,0.0
739,2.39,0.01,2.38,0.05
740,2.4,0.02,2.38,0.09
741,2.4,0.01,2.39,0.05
742,2.41,0.01,2.4,0.05
743,2.39,0.01,2.38,0.05
744,2.41,0.01,2.4,0.05
745,2.41,0.01,2.4,0.05
746,2.42,0.02,2.4,0.09
747,2.42,0.01,2.41,0.05
748,2.43,0.02,2.41,0.09
749,2.41,0.01,2.4,0.05
750,2.43,0.02,2.41,0.09
751,2.44,0.01,2.43,0.05
752,2.44,0.01,2.43,0.05
753,2.44,0.03,2.41,0.14
754,2.45,0.02,2.43,0.09
755,2.45,0.01,2.44,0.05
756,2.45,0.0,2.45,0.0
757,2.45,0.03,2.42,0.14
758,2.46,0.02,2.44,0.09
759,2.46,0.03,2.43,0.14
760,2.44,0.06,2.38,0.27
761,2.46,0.03,2.43,0.14
762,2.47,0.04,2.43,0.18
